Alvah Ritchie V,Upton Group,1-509-547-1389,Mitchel Ortiz,665-410-7318,769.469.6070,2015-01-08,"Runolfsson, Kutch and Trantow",Downtown Houston,true,true,false,true,false,false
Branson Goyette,Emard Inc,867.117.0394,Corrine Swift,679-440-4738,1-302-107-1421,2015-05-09,Gaylord-Bechtelar,Southwest,true,true,false,true,true,true
Janis Rowe,Hintz Inc,(752) 182-9452,Dr. Conrad Hahn,276-627-7797,1-831-847-4528,2016-04-02,"Hintz, Schuppe and Stokes",Northside,false,false,false,true,false,false
Tamia Becker Sr.,Ernser LLC,474-334-8026,Linwood Kuhn,1-860-270-0661,784-333-5445,2015-10-24,Metz-Vandervort,Southwest,false,true,false,true,false,false
Earnestine Treutel,Wolff LLC,212.278.5918,London Anderson,657-389-0467,1-855-862-7392,2014-12-29,"VonRueden, Botsford and Schuppe",Greenway Plaza,false,false,true,true,false,true
Ruben Cummerata,"Funk, Halvorson and Abbott",102.476.6936,Zachariah Quigley,505-930-6269,688-795-5456,2014-12-21,Rempel-Padberg,Midtown,true,false,false,true,true,true
Bethel Herman,Romaguera-Schuppe,515.926.4170,Dr. Gerson Reichert,667.677.6000,1-824-111-5777,2015-11-03,"Dare, Satterfield and Emmerich",Greenway Plaza,true,true,true,true,true,true
Watson Cruickshank,Pacocha-Schuster,325.030.6203,Kristy Zboncak III,1-548-604-9937,(161) 282-8816,2014-12-03,Purdy and Sons,Downtown Houston,true,true,true,false,true,false
Jocelyn Frami,Kilback and Sons,390-243-7990,Mrs. Kaylin Lakin,186-578-1886,1-743-383-6846,2015-10-05,"Cremin, Gleason and Emard",Northside,false,false,false,false,false,false
Christophe Schulist,Auer and Sons,(500) 967-1880,Bridget Lueilwitz,418.206.3433,618-436-9377,2015-05-10,"Turner, Hintz and Berge",Energy Corridor,true,false,false,false,true,false
Jennifer Boyle,Franecki LLC,262.143.2489,Albert Gaylord,189-948-0526,(624) 923-9416,2015-04-18,Armstrong Inc,Museum District,true,false,true,true,false,false
Tevin Bailey,Wisoky Group,(289) 417-2419,Mr. Marilyne Friesen,866-199-5072,(463) 631-4025,2015-06-28,Heller-Runolfsson,Southwest,true,false,false,false,true,false
Titus Bergstrom,"Thompson, Klein and Kunze",510-939-1655,Clotilde Lueilwitz V,(858) 506-6891,1-584-885-4999,2015-08-31,"Cremin, Rogahn and Gaylord",Museum District,true,false,false,true,true,false
Garland Halvorson,"Koepp, Volkman and Brown",1-455-199-7599,Mr. Skylar Raynor,279-828-0490,(339) 757-1327,2015-02-04,Hartmann-Bergnaum,Museum District,false,true,false,true,false,false
Gerardo Osinski,Morar LLC,1-116-724-3815,Larissa Toy,955.199.7273,1-212-066-0616,2016-02-08,Barrows-Gutmann,Downtown Houston,false,true,false,false,true,false
Mr. Alejandrin Murazik,Beahan-Fahey,(272) 233-9143,Sydnee Cummerata,503-395-5693,(577) 228-7943,2016-04-07,"Jakubowski, Gusikowski and Kassulke",Energy Corridor,false,false,false,false,false,true
Enoch Jaskolski,"Luettgen, Kling and Boehm",1-376-875-9186,Fermin Torphy,(255) 803-7613,(532) 559-1054,2015-12-08,Watsica Inc,Northside,true,true,true,true,true,true
Kobe Dickinson,"Green, Jenkins and Williamson",(674) 389-0143,Mr. Tillman Corkery,1-347-568-5786,(587) 406-2326,2014-12-13,Gibson Inc,Downtown Houston,true,false,true,true,true,true
Elouise Terry,Gutkowski-Kuhn,(164) 219-9007,Letha Fritsch,512.848.8857,330.997.6610,2015-01-08,"Von, Lebsack and Ullrich",Texas Medical Center,true,true,true,false,false,true
Naomi McDermott,Predovic Group,152-257-3750,Tiana Ondricka,514-154-2623,442-256-8757,2015-03-12,"Walker, Murphy and Sauer",Northside,false,false,true,false,false,true
Elisa Lang,Beer-Dietrich,312-768-4959,Celestino Wiza,116-381-7443,(912) 621-6514,2016-01-28,Donnelly LLC,Southwest,false,false,false,true,true,true
Myah Hammes,"Torp, Bechtelar and Leuschke",576.748.7881,Jocelyn Zulauf,866-108-0107,768.105.5715,2015-06-13,"Murphy, Nolan and Stehr",Northside,true,false,false,true,false,false
Hilton Reichel,Kemmer-Gorczany,(516) 630-5587,Lincoln Mertz Sr.,(948) 178-5932,973-399-9584,2015-11-09,Littel-Powlowski,Greenway Plaza,false,false,false,true,true,false
Meta Abbott,Hoeger Inc,358.842.1520,Wilson Rice,448.795.4902,(708) 793-5474,2015-09-13,Koch and Sons,South Side,true,false,false,true,false,false
Mr. Oceane Daniel,Purdy Inc,(112) 289-3611,Mrs. Piper Bernier,(713) 415-2997,1-859-308-6712,2015-12-13,"Hansen, Herman and Tremblay",Texas Medical Center,true,false,false,false,true,false
Lorine Bogisich DDS,Barrows Group,(291) 986-4238,Kiara Predovic,716-657-9090,632.586.2836,2014-12-16,Green-Koch,South Side,false,false,true,true,true,false
Eulalia Moen II,Lubowitz-Schulist,1-479-069-3520,Genoveva Lynch III,191.699.1836,1-577-952-1178,2015-05-04,"Gutmann, Ferry and Paucek",Northside,false,false,false,true,true,false
Flavie Haley,Gerhold-Reichert,(783) 321-0187,Vicenta Haley,837-761-8057,651-564-4815,2014-12-08,Roberts and Sons,Northside,false,true,true,false,false,true
Matteo Windler,"O'Keefe, Pfeffer and Jakubowski",1-804-655-7007,Judd Hammes,1-590-486-2938,301.283.6304,2016-01-21,Bernhard Group,Northside,true,false,false,false,false,false
Emil Kessler MD,"Wiegand, Osinski and Satterfield",173-953-3061,Dr. Raleigh Feest,(548) 756-6528,1-780-627-5552,2016-01-28,"Howe, Abbott and Farrell",Museum District,true,true,false,false,true,true
Arch Ebert,"Hirthe, Kuhn and Gutmann",698.503.6312,Talon Denesik,444.318.1901,(923) 501-3895,2015-10-06,Bartell-Feil,Southwest,false,false,false,true,false,false
Laisha Welch,"Boehm, Gaylord and Turcotte",(685) 136-2851,Miss Whitney Ernser,(740) 506-7524,918-326-1465,2016-04-02,"Doyle, Luettgen and Rodriguez",Downtown Houston,true,true,false,true,false,true
Mack Kohler,Klein-Rogahn,343-125-9731,Delta Larson DVM,842.711.4130,442.042.7629,2015-09-23,"Gislason, Prosacco and Gulgowski",Southeast,false,true,true,true,false,true
Frances Kohler,Beahan LLC,604-048-0057,Elenor Frami,798.914.3400,(433) 602-0226,2015-03-29,Lesch-O'Keefe,Southwest,true,false,true,false,true,true
Carroll Gorczany,Dickinson-Cruickshank,(381) 491-3736,Mia Steuber,1-780-535-3042,882-813-6334,2015-01-23,Koepp-Keebler,Museum District,false,false,true,true,true,false
Geraldine Fahey,McDermott LLC,(105) 948-2993,Mrs. Selmer Murazik,588.811.8616,(212) 578-3597,2015-05-11,Kling-Schneider,Museum District,false,true,true,false,false,false
Jaylin Rutherford,Ruecker Inc,542.804.4074,Gladys Murazik,978.289.7065,920-636-0201,2015-03-23,Schoen Group,Midtown,true,false,true,false,true,true
Tobin Kulas III,"Moen, Gutkowski and Mitchell",397.875.8329,Mrs. Vanessa Hessel,1-567-404-8242,561.854.2042,2015-10-08,Nienow Group,Northside,true,false,false,false,true,false
Lea Cassin,"Sauer, Lindgren and Altenwerth",413.560.9623,Earl Yundt,546-450-5064,(757) 900-1850,2015-09-14,Berge Inc,Northside,true,true,false,false,false,false
Jamel Wisozk,Schiller-Armstrong,366-624-0664,Amira Reichel,(578) 479-1439,943.289.2282,2015-12-12,"Spinka, Parisian and VonRueden",Museum District,false,true,false,false,true,true
Amie Beier,"Littel, Hegmann and Breitenberg",1-820-097-6730,Marlen Ferry,(320) 604-7079,557-807-6872,2015-11-18,Tromp and Sons,Southwest,false,true,true,true,true,true
Vicky Halvorson,"Mertz, Runolfsdottir and Kozey",355.212.4890,Jeanne O'Hara DVM,658.618.2135,982.508.6791,2015-05-14,Reinger-Ferry,South Side,true,false,true,true,false,true
Santos Gaylord,Weissnat-Parker,(655) 376-0947,Dr. Kyler Lesch,1-331-038-0808,(394) 678-6604,2015-09-04,"Balistreri, Hansen and Fay",Museum District,false,true,false,true,false,true
Simone Heathcote,Grimes-Koss,1-697-564-2461,Mr. Alberta Greenholt,1-935-075-3495,863.650.3793,2014-12-26,Wintheiser Group,Museum District,true,true,true,false,true,false
Alexander Labadie I,Johnson Group,247.315.4502,Emerson Feil,1-666-390-7750,(319) 145-6353,2015-08-13,"Moore, Jerde and Mante",Downtown Houston,true,false,true,true,true,true
Katlynn Nolan I,Moen and Sons,900.111.5679,Reta Langosh,201-308-3947,1-727-645-0830,2015-05-01,"Gusikowski, Moore and Waters",Northside,true,true,false,false,false,true
Lane Jaskolski MD,"Lemke, Langosh and Armstrong",743-800-8211,Dewayne Tromp,919.683.3847,117-913-1442,2015-06-08,"Christiansen, Ratke and Botsford",Southeast,false,true,true,false,true,false
Avery DuBuque,Smitham and Sons,1-103-133-3227,Jordan Hansen,1-855-008-5073,(536) 798-6517,2016-01-09,"Harvey, Reynolds and Kuvalis",Southwest,true,true,false,false,true,false
Cordelia Casper,Heaney-Larkin,(234) 351-9926,Winnifred Nienow,(837) 355-1592,205-019-4792,2015-12-01,West-Senger,Greenway Plaza,false,true,false,true,true,false
Miss Cecil Goodwin,Powlowski-Flatley,(862) 459-2950,Elias McKenzie,1-270-182-9612,1-229-501-1986,2015-07-10,McKenzie-Stanton,Energy Corridor,false,false,true,false,true,true
Cristal Weimann,"Schinner, Aufderhar and Sanford",1-565-145-1722,Naomi Osinski DDS,125.030.5119,918-996-5312,2016-03-21,Thiel LLC,Texas Medical Center,false,false,false,false,true,true
Zula Schoen,Schowalter and Sons,789-712-0729,Cornell Fay,804.112.0065,348.246.1525,2016-01-20,Goldner LLC,Midtown,true,false,true,true,false,false
Jo O'Hara,Ritchie-Russel,209.881.9229,Nathan Hahn MD,382.320.8446,891.438.2834,2014-12-31,"Swaniawski, Jerde and Feest",Midtown,false,false,false,false,false,true
Kimberly Christiansen V,"Sanford, Macejkovic and Sawayn",359-489-1390,Hiram Ward,(775) 175-1276,251-017-2131,2015-02-23,Veum Group,Museum District,true,false,false,false,false,true
Watson Larkin,Bergstrom Group,203.177.7009,Mathias Considine I,459.205.8080,1-807-467-6286,2015-07-09,"Cruickshank, McKenzie and Franecki",Energy Corridor,true,true,false,false,true,true
Efrain Goodwin,Turcotte LLC,1-272-134-8956,Solon Labadie,172.838.0128,727.351.9292,2015-03-30,Gusikowski Inc,Southeast,true,false,true,true,true,true
Haylie Ankunding,"Schimmel, Ebert and Howell",1-500-712-8743,Patricia Gulgowski,(452) 988-1769,821.804.1694,2015-05-27,Johnson Group,Energy Corridor,false,false,true,false,false,false
Asha Lehner,Bins Inc,944-500-9691,Bryce Carroll,(194) 566-9544,853.952.9513,2016-02-03,Mosciski and Sons,South Side,false,true,true,false,false,true
Kelsi O'Hara,Davis and Sons,(960) 290-7981,Tracey Konopelski,140.292.2543,732-637-4253,2015-06-11,Ankunding Inc,South Side,false,false,false,true,true,true
Casandra Parker,Graham Inc,538.865.9229,Margie Jacobson,563-048-6168,767-204-6308,2015-06-08,Kreiger Inc,Downtown Houston,false,true,false,false,false,false
Lucie Hoppe,Kovacek Group,(252) 758-3568,Cole Hackett,400.078.6422,1-263-683-0876,2015-04-16,Gulgowski Group,Southeast,false,true,false,true,true,false
Gracie Predovic,Fahey-Hand,1-997-550-1904,Miss Gay Mills,1-976-716-8739,556.204.1856,2016-02-24,"Johns, Dickens and Runolfsdottir",Museum District,true,false,true,false,false,false
Jaylen Lesch DDS,Rohan-Quitzon,153-961-9246,Miss Nikki Strosin,521-580-8774,135.204.3468,2015-11-14,Smith LLC,Midtown,false,true,false,true,true,true
Maximillian Parisian III,Mertz-King,222-480-9679,Margarita Fisher,884.703.5185,955.150.8364,2015-10-29,Casper-Klein,Greenway Plaza,true,false,false,true,false,true
Lindsay Stokes,Grimes-Vandervort,324.855.5419,Marcus Hickle Sr.,564.943.0959,930.806.3372,2016-01-11,"Hagenes, Dare and Donnelly",Energy Corridor,false,false,true,false,true,false
Khalid Pacocha,Stoltenberg-O'Connell,120.050.9211,Stefanie Schultz Sr.,1-326-351-8803,329.838.5363,2015-10-29,Smitham Inc,Midtown,true,false,false,false,false,true
Rasheed Konopelski,Gaylord LLC,774-594-2407,Humberto Greenholt,502-290-0561,1-782-147-3210,2016-03-15,Bartell-Gutkowski,Texas Medical Center,false,true,false,false,true,true
Jacinto Hartmann,"Kovacek, Abshire and Feil",1-393-553-6155,Elenor Ratke,(762) 567-2761,(284) 865-0743,2015-06-07,Lang-Roob,Southeast,false,true,true,false,true,true
Elza Jacobi I,Bailey-Hintz,1-174-848-4768,Sophia Keebler,1-453-078-6137,1-847-662-4148,2016-01-05,Davis and Sons,Southeast,true,true,false,false,true,true
Marjorie Hettinger,Koepp and Sons,448-742-9073,Kayden Kuhn,242.466.8012,1-659-217-5870,2015-10-11,Christiansen-Yundt,South Side,true,false,true,false,false,false
Cassandre Wunsch,Grimes-Stokes,909-898-3027,Mr. Iliana Blick,651-622-8805,(493) 467-3059,2014-11-28,"Monahan, Emard and Rodriguez",Texas Medical Center,false,false,true,true,true,true
Miss Seth Gorczany,Hodkiewicz Group,(921) 209-7332,Nola Witting,169.749.8055,(379) 269-9768,2015-11-28,Koch and Sons,South Side,false,false,true,false,true,false
Ms. Alejandrin Quitzon,Moen-Hackett,498-497-4494,Barbara Bayer,128.984.5597,281-603-1007,2014-12-13,"Olson, Yost and Ratke",South Side,false,false,false,false,false,true
Harvey Harris,"Herzog, Prosacco and Bruen",931-659-9639,Ryan Ziemann,(769) 861-8398,1-968-514-3033,2015-10-20,"Brown, Ziemann and Jacobson",Greenway Plaza,true,true,true,false,false,true
Jordane Sawayn,"Moen, Denesik and Skiles",1-184-900-1196,Mafalda Stehr,216.567.4444,(435) 359-4703,2016-02-09,"Kunze, Trantow and Russel",Texas Medical Center,true,true,false,true,false,true
Mrs. Connie Treutel,"Fay, Howell and Eichmann",(934) 081-5896,Jesse Hilll DDS,903-800-9911,(966) 877-0933,2015-04-04,Barton LLC,Midtown,false,false,false,false,true,true
Zena Kuvalis,Hagenes and Sons,241-411-7226,Emerson Wiza,228.215.4426,458-106-7044,2015-05-30,Homenick-Funk,Energy Corridor,true,false,false,true,false,true
Edd Schultz Sr.,Kris-Willms,544-983-7755,Junius Lind,1-864-703-9581,291.614.8711,2015-12-04,Zieme-Anderson,Museum District,false,true,false,false,true,true
Ms. Frankie Blick,Dach-Howell,950-165-0202,Mr. Rodrigo Kunze,416-617-5355,(693) 638-8239,2015-03-02,Walsh-Johnson,Downtown Houston,false,false,false,true,false,false
Brennon Satterfield,"Langosh, Schaefer and Durgan",1-545-623-5541,Rosario Walter,1-156-726-1038,(513) 464-5283,2014-12-20,Cole-Braun,Northside,false,false,false,false,true,true
Candelario Schamberger III,"Dietrich, Langworth and Simonis",(420) 417-3752,Aurelio McLaughlin,(232) 976-6307,875-729-3636,2015-12-22,"Glover, Dicki and Christiansen",Downtown Houston,false,false,true,true,true,false
